"시점","성별","시도별",악성신생물(암) (C00-C97),입술 구강 및 인두의 악성신생물 (C00-C14),식도의 악성신생물 (C15),위의 악성신생물 (C16),결장 직장 및 항문의 악성신생물 (C18-C21),간 및 간내 담관의 악성신생물 (C22),췌장의 악성신생물 (C25),후두의 악성신생물 (C32),기관 기관지 및 폐의 악성신생물 (C33-C34),피부의 악성 흑색종 (C43),유방의 악성신생물 (C50),자궁경부의 악성신생물 (C53),기타 및 상세불명 자궁부분의 악성신생물 (C54-C55),난소의 악성신생물 (C56),전립선의 악성신생물 (C61),방광의 악성신생물 (C67),수막 뇌 및 기타 중추신경계통의 악성신생물 (C70-C72),비호지킨 림프종 (C82-C86),다발성 골수종 및 악성형질세포 신생물 (C90),백혈병 (C91-C95),나머지 악성신생물 (Re. C00- C97),나머지 신생물 (D00-D48),신경계통의 질환 (G00-G98),수막염 (G00G03),알츠하이머병 (G30),나머지 신경계통 질환 (Re. G00- G98),급성 류마티스열 및 만성 류마티스 심장 질환 (I00-I09),고혈압성 질환 (I10-I13),허혈성 심장 질환 (I20-I25),기타 심장 질환 (I26-I51),뇌혈관 질환 (I60-I69),죽상경화증 (I70),나머지 순환계통 질환 (I71-I99),인플루엔자 (J09-J11),폐렴 (J12-J18),기타 급성 하기도 감염 (J20-J22U04),만성 하기도 질환 (J40-J47),나머지 호흡계통 질환 (Re. J00- J98),위 및 십이지장 궤양 (K25-K27),간 질환 (K70-K76),나머지 소화계통 질환 (Re. K00- K92)
"2012","계","서울특별시",12408,165,242,1562,1460,1766,812,60,2650,41,418,158,64,181,233,219,202,281,143,283,1468,256,1485,10,590,885,57,579,1958,1328,3654,25,178,21,1356,4,829,684,63,994,482
"2013","계","서울특별시",13028,209,241,1531,1477,1829,929,48,2813,41,482,147,65,208,276,232,226,325,154,273,1522,242,1534,9,525,1000,29,511,1894,1443,3678,21,198,4,1563,2,642,741,42,1000,505
"2014","계","서울특별시",12974,191,263,1438,1381,1921,960,52,2816,37,479,187,71,197,272,245,223,296,164,343,1438,212,1479,4,492,983,27,471,1850,1569,3571,18,197,18,1790,4,699,865,75,982,549
"2015","계","서울특별시",13306,206,267,1445,1515,1928,1009,50,2807,57,484,146,89,201,291,274,221,345,165,374,1432,224,1590,7,614,969,25,530,2112,1865,3683,32,211,21,2130,13,743,843,67,1062,604
"2016","계","서울특별시",13107,181,250,1313,1458,1823,1027,36,2880,49,530,135,80,221,279,264,212,317,203,349,1500,228,1735,10,667,1058,26,630,2155,2054,3473,19,202,31,2415,2,694,890,57,1047,641
"2017","계","서울특별시",12909,232,228,1294,1449,1670,964,46,2810,55,495,134,88,216,313,249,230,358,174,318,1586,213,1864,9,760,1095,34,798,2107,2211,3398,31,201,34,2683,5,690,863,69,1013,639
"2018","계","서울특별시",13302,207,251,1252,1599,1731,1073,35,2760,44,504,147,69,208,328,289,221,406,177,333,1668,283,2181,7,871,1303,21,760,2106,2523,3528,26,247,107,2675,2,714,983,70,1066,686
"2019","계","서울특별시",13515,264,271,1130,1563,1701,1125,41,2911,39,496,151,92,232,339,283,264,399,151,350,1713,293,1986,6,837,1143,30,586,2154,2430,3215,19,251,40,2985,6,695,922,93,1014,658
"2020","계","서울특별시",13530,228,289,1239,1501,1628,1195,42,2829,44,568,122,82,231,366,294,227,389,178,345,1733,261,2415,5,1145,1265,33,696,2458,2191,3401,20,252,39,2512,0,645,1039,95,1064,761
"2021","계","서울특별시",13580,231,253,1125,1584,1574,1214,38,2860,55,526,119,106,238,389,271,245,375,191,383,1803,263,2383,5,1120,1258,29,763,2525,2225,3539,17,252,3,2503,0,629,1125,83,1159,752
